@ HyperIMU - ianovir
@ Date:Thu Jun 05 19:03:08 GMT+05:30 2025, Sampling Rate:150ms

bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
5.903431,-4.1857643,-0.0401268,-0.5996132,0.80415726,0.87558746
9.449263,-5.775564,-5.506056,0.81617355,0.026435852,0.820179
10.526697,-5.8378506,-5.2736797,-1.8097878,-0.4272461,-0.20774841
12.679171,-4.18816,-3.935421,1.4904213,-1.2880135,-2.0326233
7.8810234,-6.1585655,-1.7661781,-0.18304825,0.5942726,-2.5343704
5.3482437,-6.8838425,-2.8388214,-0.5367279,-0.5551529,-0.6647682
6.8685703,-9.038712,-2.4965458,0.39319992,-0.2622223,2.8601456
8.2427635,-5.9836845,-4.2896748,-0.18304825,0.7711792,1.2228584
7.9768486,-4.3271065,-4.7397537,1.2167168,0.2789116,1.2452888
11.7862,-6.546358,-2.0105324,-1.2430191,0.5634308,0.33231735
10.91449,-6.579897,-3.38233,0.3623581,-0.48585892,-1.1665154
4.1582146,-5.6438046,-2.2186527,1.0100365,-2.0944405,-2.197647
5.04879,-5.988476,-3.0903625,0.0022697449,-0.35381317,-0.9651756
8.156521,-9.41213,-1.41432,-0.84033966,0.0073432922,1.5679932
9.195625,-4.714899,-8.185268,1.1900139,0.6879997,0.43031693
5.5156384,-5.236847,-0.5333271,-0.063819885,0.5729103,1.3634491
9.94965,-4.7771854,-7.9193535,-0.30454636,0.34820557,0.25354385
10.146091,-8.287083,-3.0017242,-0.8499527,-0.017223358,-0.5785179
